entry_time,exit_time,side,entry_spread,exit_spread,pnl
2026-01-06 21:00:00+00:00,2026-01-07 01:00:00+00:00,long_spread,-0.9702679949453881,-0.5029101637197471,0.466957831225641
2026-01-08 10:00:00+00:00,2026-01-09 10:00:00+00:00,long_spread,-1.140257325602434,-0.5160781066841196,0.6237792189183144
2026-01-14 09:00:00+00:00,2026-01-14 17:00:00+00:00,short_spread,0.02113012717754259,-0.4258221891385716,0.4465523163161142
2026-01-15 16:00:00+00:00,2026-01-15 23:00:00+00:00,long_spread,-1.0486160724072846,-0.5374486754444661,0.5107673969628186
2026-01-17 09:00:00+00:00,2026-01-17 20:00:00+00:00,long_spread,-1.159460444368321,-0.6960667514347136,0.4629936929336073
2026-01-23 01:00:00+00:00,2026-01-23 04:00:00+00:00,long_spread,-1.1459871346815191,-0.651651334671655,0.4939358000098641
2026-01-24 00:00:00+00:00,2026-01-25 02:00:00+00:00,long_spread,-1.3373795018772228,-0.9241056862338866,0.4128738156433362
2026-01-25 12:00:00+00:00,2026-01-25 22:00:00+00:00,short_spread,-0.1563623932919853,-0.6486495937664216,0.4918872004744363
2026-01-26 22:00:00+00:00,2026-01-27 02:00:00+00:00,short_spread,0.03416674257256602,-0.7265161720264359,0.760282914599002
2026-01-28 07:00:00+00:00,2026-01-28 15:00:00+00:00,short_spread,0.1114866809311934,-0.4022607247094072,0.5133474056406007
2026-01-30 03:00:00+00:00,2026-01-30 09:00:00+00:00,short_spread,0.09626593395070415,-0.32788040908179994,0.4237463430325041
2026-01-31 16:00:00+00:00,2026-02-01 06:00:00+00:00,long_spread,-0.8831197210845119,-0.596897893380671,0.28582182770384085
